accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.5238095238095238,0.5607142857142857,0.7272727272727273,0.22857142857142856,0.34782608695652173,0.6520408163265305,1
0.4126984126984127,0.4935897435897436,0.6,0.15384615384615385,0.24489795918367346,0.5053418803418803,2
0.4126984126984127,0.42857142857142855,0.5925925925925926,0.38095238095238093,0.463768115942029,0.40249433106575966,3
0.4444444444444444,0.45163043478260867,0.5862068965517241,0.425,0.4927536231884058,0.4521739130434782,4
0.49206349206349204,0.5238095238095238,0.6923076923076923,0.42857142857142855,0.5294117647058824,0.5096371882086167,5
0.5079365079365079,0.501039501039501,0.5882352941176471,0.5405405405405406,0.5633802816901409,0.5228690228690229,6
0.5555555555555556,0.5502028397565923,0.5833333333333334,0.6176470588235294,0.6,0.5755578093306288,7
0.5238095238095238,0.5055780933062881,0.5434782608695652,0.7352941176470589,0.625,0.5917849898580122,8
0.5714285714285714,0.5336538461538461,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6538461538461539,9
0.5396825396825397,0.5304878048780488,0.6764705882352942,0.5609756097560976,0.6133333333333333,0.5371396895787139,10
0.3492063492063492,0.3782051282051282,0.45454545454545453,0.2564102564102564,0.32786885245901637,0.35790598290598286,11
0.3968253968253968,0.4107142857142857,0.43478260869565216,0.2857142857142857,0.3448275862068966,0.3214285714285714,12
0.3968253968253968,0.43503118503118504,0.47058823529411764,0.21621621621621623,0.2962962962962963,0.446985446985447,13
0.36507936507936506,0.3935185185185185,0.3888888888888889,0.19444444444444445,0.25925925925925924,0.40637860082304533,14
0.3492063492063492,0.3601871101871102,0.4230769230769231,0.2972972972972973,0.3492063492063492,0.4137214137214138,15
0.4126984126984127,0.40368421052631576,0.5151515151515151,0.4473684210526316,0.4788732394366197,0.4557894736842105,16
0.49206349206349204,0.44124168514412415,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.4279379157427938,17
0.5238095238095238,0.5231481481481481,0.59375,0.5277777777777778,0.5588235294117647,0.5452674897119343,18
0.5714285714285714,0.5696969696969697,0.5517241379310345,0.5333333333333333,0.5423728813559322,0.5909090909090908,19
0.4603174603174603,0.4439102564102564,0.32142857142857145,0.375,0.34615384615384615,0.5202991452991452,20
0.47619047619047616,0.4714285714285714,0.41379310344827586,0.42857142857142855,0.42105263157894735,0.5122448979591837,21
0.5396825396825397,0.5223492723492723,0.44,0.4230769230769231,0.43137254901960786,0.46153846153846156,22
0.5396825396825397,0.5214285714285715,0.47619047619047616,0.35714285714285715,0.40816326530612246,0.49642857142857144,23
0.5714285714285714,0.5598377281947262,0.5454545454545454,0.41379310344827586,0.47058823529411764,0.5512170385395537,24
0.47619047619047616,0.49090909090909096,0.5,0.18181818181818182,0.26666666666666666,0.47777777777777775,25
0.47619047619047616,0.486815415821501,0.5217391304347826,0.35294117647058826,0.42105263157894735,0.44320486815415816,26
