accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.3492063492063492,0.4157427937915743,0.5,0.1951219512195122,0.2807017543859649,0.41352549889135254,1
0.38095238095238093,0.46710526315789475,0.6470588235294118,0.25,0.36065573770491804,0.4431818181818182,2
0.4603174603174603,0.46413043478260874,0.6,0.45,0.5142857142857142,0.5103260869565217,3
0.5555555555555556,0.5426829268292683,0.6857142857142857,0.5853658536585366,0.631578947368421,0.5659645232815964,4
0.5714285714285714,0.5730846774193548,0.5526315789473685,0.6774193548387096,0.6086956521739131,0.5584677419354839,5
0.5714285714285714,0.5598377281947262,0.5853658536585366,0.7058823529411765,0.64,0.6085192697768763,6
0.5873015873015873,0.5514553014553014,0.6222222222222222,0.7567567567567568,0.6829268292682927,0.594074844074844,7
0.5714285714285714,0.5443458980044346,0.6842105263157895,0.6341463414634146,0.6582278481012658,0.5986696230598669,8
0.5238095238095238,0.4972283813747228,0.6486486486486487,0.5853658536585366,0.6153846153846154,0.5155210643015522,9
0.42857142857142855,0.43052631578947365,0.5333333333333333,0.42105263157894735,0.47058823529411764,0.3863157894736842,10
0.47619047619047616,0.4911642411642412,0.5769230769230769,0.40540540540540543,0.47619047619047616,0.43555093555093555,11
0.47619047619047616,0.475,0.53125,0.4857142857142857,0.5074626865671642,0.4520408163265306,12
0.4603174603174603,0.46621621621621623,0.5517241379310345,0.43243243243243246,0.48484848484848486,0.4698544698544699,13
0.42857142857142855,0.42203742203742206,0.5151515151515151,0.4594594594594595,0.4857142857142857,0.5025987525987525,14
0.49206349206349204,0.5,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.5470521541950113,15
0.6031746031746031,0.5764033264033264,0.6428571428571429,0.7297297297297297,0.6835443037974683,0.5644490644490644,16
0.5396825396825397,0.5321428571428571,0.5833333333333334,0.6,0.5915492957746479,0.5673469387755102,17
0.4603174603174603,0.4670385395537525,0.43243243243243246,0.5517241379310345,0.48484848484848486,0.48884381338742394,18
0.4603174603174603,0.46621621621621623,0.38235294117647056,0.5,0.43333333333333335,0.4698544698544699,19
0.49206349206349204,0.49391480730223125,0.45454545454545453,0.5172413793103449,0.4838709677419355,0.5030425963488844,20
0.47619047619047616,0.47117516629711753,0.3225806451612903,0.45454545454545453,0.37735849056603776,0.4401330376940133,21
0.5555555555555556,0.5415800415800416,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.4698544698544698,22
0.5238095238095238,0.5107142857142857,0.4583333333333333,0.39285714285714285,0.4230769230769231,0.5091836734693878,23
0.5238095238095238,0.5545738045738046,0.6666666666666666,0.3783783783783784,0.4827586206896552,0.5862785862785863,24
