2026-05-08 22:57:13 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 22:57:13 | DEBUG    | git.cmd | Popen(['git', 'version'], cwd=C:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 22:57:13 | DEBUG    | git.cmd | Popen(['git', 'check-ignore', 'c:\\Users\\vaibh\\OneDrive\\Desktop\\Workstation\\Internship\\src'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=None, shell=False, universal_newlines=False)
2026-05-08 22:57:13 | DEBUG    | git.cmd | Popen(['git', 'cat-file', '--batch-check'], cwd=c:\Users\vaibh\OneDrive\Desktop\Workstation\Internship, stdin=<valid stream>, shell=False, universal_newlines=False)
2026-05-08 22:57:13 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): config.mlflow-telemetry.io:443
2026-05-08 22:57:13 | DEBUG    | urllib3.connectionpool | https://config.mlflow-telemetry.io:443 "GET /3.12.0.json HTTP/1.1" 200 308
2026-05-08 22:57:21 | INFO     | __main__ | Training completed successfully
2026-05-08 22:58:06 | INFO     | __main__ | Loading artifacts
2026-05-08 22:58:07 | INFO     | __main__ | Running backtest
2026-05-08 22:58:07 | INFO     | __main__ | Backtest completed
2026-05-08 23:00:04 | DEBUG    | urllib3.connectionpool | Starting new HTTPS connection (1): config.mlflow-telemetry.io:443
2026-05-08 23:00:04 | INFO     | __main__ | Loading dataset
2026-05-08 23:00:04 | INFO     | data_preprocessing | Loading datasets
2026-05-08 23:00:04 | INFO     | data_preprocessing | Preparing starter features
2026-05-08 23:00:04 | INFO     | data_preprocessing | Merging datasets
2026-05-08 23:00:04 | INFO     | data_preprocessing | Recomputing only missing feature values
2026-05-08 23:00:04 | INFO     | data_preprocessing | Creating EMA50
2026-05-08 23:00:04 | INFO     | data_preprocessing | Creating target
2026-05-08 23:00:05 | INFO     | data_preprocessing | Dropping remaining NaNs
