date,Adj Close,Close,High,Low,Open,Volume
2022-01-03,36421.4765625,36421.8984375,36492.1015625,35526.6015625,35585.19921875,219000
2022-01-04,36839.71875,36840.1484375,36887.80078125,36374.3984375,36551.25,190500
2022-01-05,37695.4609375,37695.8984375,37862.3984375,36756.3515625,36943.55078125,237400
2022-01-06,37489.8125,37490.25,37752.5,37058.44921875,37242.55078125,199000
2022-01-07,37739.1640625,37739.6015625,38134.8515625,37427.80078125,37667.05078125,183300
2022-01-10,38347.453125,38347.8984375,38400.3515625,37929.3515625,37930.55078125,206500
2022-01-11,38441.75390625,38442.19921875,38504.6015625,38031.75,38370.0,159500
2022-01-12,38727.1015625,38727.55078125,38851.44921875,38604.6015625,38719.6015625,156100
2022-01-13,38469.50390625,38469.94921875,38717.55078125,38376.1484375,38717.55078125,159200
2022-01-14,38369.953125,38370.3984375,38448.05078125,38007.75,38302.3515625,148600
2022-01-17,38215.703125,38216.1484375,38617.5,38138.25,38212.55078125,140300
2022-01-18,38209.85546875,38210.30078125,38855.55078125,38095.3984375,38337.3984375,168800
2022-01-19,38040.91015625,38041.3515625,38330.5,37769.25,38145.75,165300
2022-01-20,37850.41015625,37850.8515625,38167.94921875,37591.8515625,38106.1015625,149600
2022-01-21,37573.86328125,37574.30078125,37741.0,37224.25,37522.3515625,157800
2022-01-24,36947.12109375,36947.55078125,37694.69921875,36375.3515625,37601.94921875,231000
2022-01-25,37706.3125,37706.75,37788.80078125,36415.6015625,36598.05078125,267500
2022-01-27,37981.66015625,37982.1015625,38147.6484375,37012.25,37058.19921875,346300
2022-01-28,37688.9609375,37689.3984375,38421.69921875,37581.5,38246.6015625,294300
2022-01-31,37974.91015625,37975.3515625,38217.25,37647.8515625,38091.80078125,217800
2022-02-01,38505.05078125,38505.5,38802.69921875,37690.6015625,38460.44921875,234100
2022-02-02,39330.04296875,39330.5,39386.6015625,38752.6484375,38841.55078125,252600
2022-02-03,39009.546875,39010.0,39424.8515625,38861.1484375,39255.69921875,193800
2022-02-04,38788.90234375,38789.3515625,39278.6015625,38562.6015625,39128.0,163100
