accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.4444444444444444,0.43779904306220097,0.6451612903225806,0.45454545454545453,0.5333333333333333,0.37200956937799046,1
0.3968253968253968,0.4101995565410199,0.5555555555555556,0.36585365853658536,0.4411764705882353,0.41130820399113077,2
0.49206349206349204,0.5076086956521739,0.6428571428571429,0.45,0.5294117647058824,0.5076086956521739,3
0.47619047619047616,0.47530241935483875,0.4857142857142857,0.53125,0.5074626865671642,0.5383064516129032,4
0.49206349206349204,0.48484848484848486,0.5121951219512195,0.6363636363636364,0.5675675675675675,0.4606060606060606,5
0.5714285714285714,0.5665280665280665,0.6470588235294118,0.5945945945945946,0.6197183098591549,0.5519750519750519,6
0.6190476190476191,0.5927033492822966,0.7631578947368421,0.6590909090909091,0.7073170731707317,0.5311004784688995,7
0.5555555555555556,0.5273255813953488,0.7027027027027027,0.6046511627906976,0.65,0.5441860465116279,8
0.4126984126984127,0.41203703703703703,0.4838709677419355,0.4166666666666667,0.44776119402985076,0.4423868312757202,9
0.38095238095238093,0.39814814814814814,0.43478260869565216,0.2777777777777778,0.3389830508474576,0.3703703703703704,10
0.4444444444444444,0.43,0.5428571428571428,0.5,0.5205479452054794,0.3789473684210526,11
0.49206349206349204,0.46744186046511627,0.6571428571428571,0.5348837209302325,0.5897435897435898,0.39534883720930236,12
0.5079365079365079,0.46467391304347827,0.6097560975609756,0.625,0.6172839506172839,0.40108695652173915,13
0.42857142857142855,0.4242424242424242,0.4594594594594595,0.5151515151515151,0.4857142857142857,0.4505050505050505,14
0.42857142857142855,0.44285714285714284,0.4,0.5714285714285714,0.47058823529411764,0.44693877551020406,15
0.5555555555555556,0.5905263157894737,0.4634146341463415,0.76,0.5757575757575758,0.5431578947368421,16
0.5238095238095238,0.5241935483870968,0.5333333333333333,0.5,0.5161290322580645,0.5493951612903226,17
0.6031746031746031,0.6,0.6470588235294118,0.6285714285714286,0.6376811594202898,0.5530612244897959,18
0.5396825396825397,0.5392857142857143,0.59375,0.5428571428571428,0.5671641791044776,0.5336734693877551,19
