accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.6777777777777777,1
0.3333333333333333,0.35,0.3888888888888889,0.7,0.5,0.4,2
0.5238095238095238,0.5,0.42857142857142855,0.3333333333333333,0.375,0.6018518518518519,3
0.7619047619047619,0.6333333333333333,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.7999999999999999,4
0.47619047619047616,0.3833333333333333,0.6428571428571429,0.6,0.6206896551724138,0.4555555555555556,5
0.38095238095238093,0.4,0.0,0.0,0.0,0.1727272727272727,6
0.42857142857142855,0.4423076923076923,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.3653846153846154,7
0.47619047619047616,0.4818181818181818,0.5,0.36363636363636365,0.42105263157894735,0.5454545454545454,8
0.38095238095238093,0.4519230769230769,0.5,0.15384615384615385,0.23529411764705882,0.46153846153846156,9
0.2857142857142857,0.29166666666666663,0.3333333333333333,0.25,0.2857142857142857,0.2962962962962963,10
0.5238095238095238,0.4861111111111111,0.5625,0.75,0.6428571428571429,0.5,11
0.5238095238095238,0.5357142857142857,0.7,0.5,0.5833333333333334,0.5612244897959183,12
0.6190476190476191,0.48333333333333334,0.7058823529411765,0.8,0.75,0.37777777777777777,13
0.47619047619047616,0.4642857142857143,0.3,0.42857142857142855,0.35294117647058826,0.5306122448979591,14
0.5714285714285714,0.5336538461538461,0.42857142857142855,0.375,0.4,0.5192307692307692,15
0.5238095238095238,0.5277777777777778,0.45454545454545453,0.5555555555555556,0.5,0.6296296296296297,16
0.47619047619047616,0.4818181818181818,0.5,0.36363636363636365,0.42105263157894735,0.4,17
0.6190476190476191,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4666666666666666,18
0.5714285714285714,0.5863636363636364,0.75,0.2727272727272727,0.4,0.6545454545454545,19
0.5238095238095238,0.5277777777777778,0.6,0.5,0.5454545454545454,0.5740740740740741,20
0.38095238095238093,0.37727272727272726,0.3333333333333333,0.3,0.3157894736842105,0.32727272727272727,21
0.47619047619047616,0.5277777777777778,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.537037037037037,22
