accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.6666666666666666,0.4666666666666667,0.7,0.9333333333333333,0.8,0.7000000000000001,1
0.42857142857142855,0.45,0.45,0.9,0.6,0.4090909090909091,2
0.5238095238095238,0.5694444444444444,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5462962962962963,3
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,0.7444444444444445,4
0.7142857142857143,0.55,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.43333333333333335,5
0.23809523809523808,0.24545454545454548,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.16363636363636364,6
0.47619047619047616,0.40865384615384615,0.5625,0.6923076923076923,0.6206896551724138,0.35576923076923084,7
0.5714285714285714,0.5545454545454546,0.5555555555555556,0.9090909090909091,0.6896551724137931,0.5363636363636364,8
0.7619047619047619,0.6875,0.7222222222222222,1.0,0.8387096774193549,0.46153846153846156,9
0.5714285714285714,0.5277777777777778,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.2962962962962963,10
0.5238095238095238,0.4583333333333333,0.55,0.9166666666666666,0.6875,0.5092592592592592,11
0.7142857142857143,0.6428571428571428,0.75,0.8571428571428571,0.8,0.5714285714285714,12
0.7142857142857143,0.55,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.4222222222222223,13
0.47619047619047616,0.6071428571428571,0.3888888888888889,1.0,0.56,0.4897959183673469,14
0.42857142857142855,0.4903846153846154,0.375,0.75,0.5,0.46634615384615385,15
0.5714285714285714,0.611111111111111,0.5,0.8888888888888888,0.64,0.662037037037037,16
0.38095238095238093,0.36363636363636365,0.4444444444444444,0.7272727272727273,0.5517241379310345,0.36363636363636365,17
0.3333333333333333,0.43333333333333335,0.25,0.6666666666666666,0.36363636363636365,0.4444444444444445,18
0.5714285714285714,0.5636363636363637,0.5714285714285714,0.7272727272727273,0.64,0.5818181818181818,19
0.5238095238095238,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5555555555555556,20
0.38095238095238093,0.3909090909090909,0.4,0.6,0.48,0.3090909090909091,21
0.5238095238095238,0.4861111111111111,0.5625,0.75,0.6428571428571429,0.5740740740740741,22
