accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.6666666666666666,0.6166666666666667,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.7000000000000001,1
0.38095238095238093,0.4,0.42105263157894735,0.8,0.5517241379310345,0.4090909090909091,2
0.47619047619047616,0.45833333333333337,0.375,0.3333333333333333,0.35294117647058826,0.5462962962962963,3
0.7619047619047619,0.6333333333333333,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.7444444444444445,4
0.47619047619047616,0.3833333333333333,0.6428571428571429,0.6,0.6206896551724138,0.43333333333333335,5
0.3333333333333333,0.35,0.0,0.0,0.0,0.16363636363636364,6
0.38095238095238093,0.40384615384615385,0.5,0.3076923076923077,0.38095238095238093,0.35576923076923084,7
0.5714285714285714,0.5727272727272728,0.6,0.5454545454545454,0.5714285714285714,0.5363636363636364,8
0.3333333333333333,0.41346153846153844,0.3333333333333333,0.07692307692307693,0.125,0.46153846153846156,9
0.2857142857142857,0.29166666666666663,0.3333333333333333,0.25,0.2857142857142857,0.2962962962962963,10
0.5238095238095238,0.4861111111111111,0.5625,0.75,0.6428571428571429,0.5092592592592592,11
0.5238095238095238,0.5357142857142857,0.7,0.5,0.5833333333333334,0.5714285714285714,12
0.6666666666666666,0.5166666666666667,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.4222222222222223,13
0.47619047619047616,0.4642857142857143,0.3,0.42857142857142855,0.35294117647058826,0.4897959183673469,14
0.5238095238095238,0.44711538461538464,0.25,0.125,0.16666666666666666,0.46634615384615385,15
0.47619047619047616,0.48611111111111116,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.662037037037037,16
0.47619047619047616,0.4818181818181818,0.5,0.36363636363636365,0.42105263157894735,0.36363636363636365,17
0.5714285714285714,0.44999999999999996,0.2,0.16666666666666666,0.18181818181818182,0.4444444444444445,18
0.5238095238095238,0.5409090909090909,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.5818181818181818,19
0.5714285714285714,0.5833333333333333,0.6666666666666666,0.5,0.5714285714285714,0.5555555555555556,20
0.38095238095238093,0.37727272727272726,0.3333333333333333,0.3,0.3157894736842105,0.3090909090909091,21
0.47619047619047616,0.5138888888888888,0.6,0.25,0.35294117647058826,0.5740740740740741,22
