date,adj close,close,high,low,open,volume,ret_1d,signal,target,ret_5d,ret_10d,ret_20d,ret_intraday,ret_overnight,high_low_range,log_volume,ema50,close_vs_ma5,close_vs_ma20,close_vs_ma50,close_vs_252d_high,close_vs_252d_low,ma5_smooth_signal,momentum_5_20,vol_5d,vol_20d,vol_50d,volume_ratio_20d,volume_normalized,rsi_14,ret_zscore,dow,vix_level,vix_change,vix_5d_change,vix_ma_ratio
2022-01-03,36421.4765625,36421.8984375,36492.1015625,35526.6015625,35585.19921875,219000,,-1,1.0,,,,0.023512562445038653,,0.02717681842721288,12.296827008798639,,,,,,,,,,,,,,,,0,16.450000762939453,,,
2022-01-04,36839.71875,36840.1484375,36887.80078125,36374.3984375,36551.25,190500,0.011483476093859135,1,1.0,,,,0.007903927704250881,0.0035514777661018234,0.014114387200991082,12.157407473548894,,,,,,,,,,,,,,,,1,16.1200008392334,-0.020060784705221324,,
2022-01-05,37695.4609375,37695.8984375,37862.3984375,36756.3515625,36943.55078125,237400,0.023228733767232113,1,-1.0,,,,0.02036479007404561,0.002806784123723714,0.030091312874709366,12.377501761157705,,,,,,,,,,,,,,,,2,17.229999542236328,0.06885847675028511,,
2022-01-06,37489.8125,37490.25,37752.5,37058.44921875,37242.55078125,199000,-0.005455459241566207,-1,1.0,,,,0.006650973511586262,-0.012026445184789875,0.01872854358133367,12.201060103706629,,,,,,,,,,,,,,,,3,17.979999542236328,0.043528730117578185,,
2022-01-07,37739.1640625,37739.6015625,38134.8515625,37427.80078125,37667.05078125,183300,0.006651104287114684,1,1.0,,,,0.0019261072939141418,0.004715913637545762,0.018891058691436858,12.118879433827797,,0.013482145337297712,,,,,,,,,,,,,,4,17.600000381469727,-0.021134547855463315,,
2022-01-10,38347.453125,38347.8984375,38400.3515625,37929.3515625,37930.55078125,206500,0.01611826436462538,1,1.0,0.05288027485181801,,,0.011002942157547187,0.00505965115804871,0.012417823680003756,12.238055691383224,,0.019273946795668774,,,,,0.010206785022944143,,0.010678915244523485,,,,,,,0,17.68000030517578,0.004545450112051208,0.07477200517871219,
2022-01-11,38441.75390625,38442.19921875,38504.6015625,38031.75,38370.0,159500,0.0024590860279787297,1,1.0,0.04348654522844586,,,0.0018816580336200157,0.0005763435129573389,0.012433074010530676,11.979799201207037,,0.013152029565927474,,,,,0.00835535112236227,,0.011185667607346787,,,,,,,1,17.760000228881836,0.0045248824844552615,0.1017369295451247,
2022-01-12,38727.1015625,38727.55078125,38851.44921875,38604.6015625,38719.6015625,156100,0.007422872996319718,1,-1.0,0.027367761122884193,,,0.00020530218362832618,0.007216089333793846,0.00639425473282917,11.958252106503524,,0.015152250520976684,,,,,0.005367290970422989,,0.00781772673263119,,,,,,,2,17.18000030517578,-0.03265765294095224,-0.0029018710614577836,
2022-01-13,38469.50390625,38469.94921875,38717.55078125,38376.1484375,38717.55078125,159200,-0.006651635781334209,-1,-1.0,0.026132106847780445,,,-0.006395072970883985,-0.0002582141085162947,0.008896211778678447,11.97791655239242,,0.0032470451638409227,,,,,0.005059443207672795,,0.008243031199542148,,,,,,,3,16.700000762939453,-0.02793943735214721,-0.07119014526613665,
2022-01-14,38369.953125,38370.3984375,38448.05078125,38007.75,38302.3515625,148600,-0.0025877544231713845,-1,-1.0,0.01671445507858227,,,0.0017765717305623981,-0.004356586365555013,0.011584500036176832,11.909013411265796,,-0.0026305322187043104,,,,,0.003279426606014693,,0.008841612205448924,,,,,,,4,16.559999465942383,-0.008383310814437883,-0.059090959828746126,
