accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.3968253968253968,0.41787941787941785,0.4782608695652174,0.2972972972972973,0.36666666666666664,0.41683991683991684,1
0.3968253968253968,0.41328600405679516,0.3888888888888889,0.20588235294117646,0.2692307692307692,0.41683569979716023,2
0.4126984126984127,0.4212962962962963,0.48148148148148145,0.3611111111111111,0.4126984126984127,0.4495884773662552,3
0.47619047619047616,0.45114345114345117,0.55,0.5945945945945946,0.5714285714285714,0.3627858627858628,4
0.4444444444444444,0.41666666666666663,0.6,0.5,0.5454545454545454,0.3820861678004535,5
0.49206349206349204,0.43070953436807097,0.6046511627906976,0.6341463414634146,0.6190476190476191,0.376940133037694,6
0.3968253968253968,0.3678571428571428,0.46808510638297873,0.6285714285714286,0.5365853658536586,0.4704081632653061,7
0.38095238095238093,0.3964285714285714,0.36585365853658536,0.5357142857142857,0.43478260869565216,0.4816326530612245,8
0.38095238095238093,0.4478260869565217,0.3333333333333333,0.6956521739130435,0.4507042253521127,0.5304347826086957,9
0.47619047619047616,0.47160243407707914,0.42857142857142855,0.41379310344827586,0.42105263157894735,0.5040567951318459,10
0.6031746031746031,0.5581521739130435,0.45,0.391304347826087,0.4186046511627907,0.4489130434782609,11
0.5555555555555556,0.5015592515592516,0.4166666666666667,0.19230769230769232,0.2631578947368421,0.46673596673596673,12
0.5238095238095238,0.5178571428571428,0.4642857142857143,0.4642857142857143,0.4642857142857143,0.5948979591836734,13
0.5555555555555556,0.5816008316008316,0.6956521739130435,0.43243243243243246,0.5333333333333333,0.5602910602910602,14
