fold,train_end,val_start,val_end,auc,bal_acc,acc
1,2023-03-21,2023-03-22,2023-06-23,0.5254988913525499,0.5537694013303769,0.4603174603174603
2,2023-06-23,2023-06-26,2023-09-25,0.4782608695652174,0.49619565217391304,0.5714285714285714
3,2023-09-25,2023-09-26,2023-12-28,0.5945945945945946,0.5280665280665281,0.5396825396825397
4,2023-12-28,2023-12-29,2024-04-04,0.3989473684210526,0.40368421052631576,0.4126984126984127
5,2024-04-04,2024-04-05,2024-07-09,0.3752598752598753,0.4085239085239085,0.4126984126984127
6,2024-07-09,2024-07-10,2024-10-09,0.4526315789473684,0.45631578947368423,0.47619047619047616
7,2024-10-09,2024-10-10,2025-01-10,0.5282608695652173,0.4603260869565217,0.3968253968253968
8,2025-01-10,2025-01-13,2025-04-16,0.4898989898989899,0.509090909090909,0.5079365079365079
