date,close,ret_zscore,ret_1d,ret_5d,ret_10d,ret_20d,ret_overnight,high_low_range,volume_ratio_20d,momentum_5_20,vol_5d,vol_20d,vol_50d,rsi_14,bn_ret_1d,bn_ret_5d,nifty_bn_spread,vix_change,vix_5d_change,vix_ma_ratio,target,proba,signal,ret,strategy_ret,equity
2025-07-01,25541.80078125,-0.1635218617437026,0.0009699396772837,0.019862810559424,0.0276984388375554,0.0407171551899765,0.0013441533043545,0.0035918878890446,0.7830474874598241,-0.0208543446305524,0.0064214318248993,0.006390071868848,0.0085761494047248,59.64819310182544,0.0025596262393621,0.0176676804864119,-0.0015896865620783,-0.0203283995040893,-0.0813783418191002,0.8971146046002633,0,0.6380272,1,-0.0034610085397696055,-0.0034610085397696055,0.9965389914602304
2025-07-02,25453.400390625,-0.7904795869721181,-0.0034610085397696,0.0082651002931302,0.0258483111706209,0.0338421783053835,0.0018205450899192,0.0090370727232428,0.9265046728971936,-0.0255770780122532,0.0066568663497724,0.0064974156296985,0.0086003279960062,64.79428397853175,-0.0080099967239124,0.006676847638781,0.0045489881841428,-0.0063846708229007,-0.0393518693966574,0.9020431652710356,0,0.511961,1,-0.00188971251922454,-0.00188971251922454,0.9946558192521726
2025-07-03,25405.30078125,-0.4947609176381923,-0.0018897125192245,-0.0056244557027672,0.0246861860082885,0.0264394579711075,0.0020311321063822,0.0080029779667851,0.8901023890784956,-0.0320639136738748,0.003335466899872,0.0064847643400964,0.0085710868455039,69.19552529659812,-0.0036360159939198,-0.0072500250086804,0.0017463034746952,-0.0048192342860705,-0.0158856081684817,0.9065301102541656,1,0.5826611,1,0.0021924250859925998,0.0021924250859925998,0.9968365276222296
2025-07-04,25461.0,0.2055291674258115,0.0021924250859925,-0.0068960977877362,0.0138815726076564,0.0183157336581269,0.0009269257753633,0.0054714006879825,0.5999627930050832,-0.0252118314458632,0.0029173759259592,0.0061500027422386,0.0085508831791816,65.91401175321819,0.0042250569323791,-0.0071722151735272,-0.0020326318463865,-0.0056497696980499,-0.0056497696980499,0.909090883434198,1,0.5963856,1,1.1813410706551508e-05,1.1813410706551508e-05,0.9968483036615378
2025-07-07,25461.30078125,-0.1167005838742407,1.1813410706551508e-05,-0.0021848136165079,0.0195980435196967,0.0142651762980285,-0.0004143899002395,0.0032491033563254,0.615959668933455,-0.0164499899145365,0.0022570662693659,0.0061090457489868,0.0084403202117593,69.94814999903686,-0.001450052006258,-0.0063432793095776,0.0014618654169645,0.0194805787936265,-0.0179827633246533,0.9341415593858772,1,0.56412137,1,0.0024036171315751087,0.0024036171315751087,0.9992443453218002
2025-07-08,25522.5,0.2543461839657825,0.0024036171315751,-0.0007556546781998,0.0190921464555027,0.0166605256082137,-0.0013138045130684,0.0048733345547974,0.6710895636641979,-0.0174161802864135,0.0025516427785952,0.0061182673395002,0.008297599443764,73.01347086728885,0.0053925527788438,-0.0035355096552807,-0.0029889356472687,-0.0286624680194516,-0.0263367861722852,0.9135497216533984,0,0.5797297,1,-0.00181801902732881,-0.00181801902732881,0.9974277000890545
2025-07-09,25476.099609375,-0.4056304132848868,-0.0018180190273288,0.0008917951394171,0.0091642662088156,0.0133126720687686,-0.0003095461112743,0.004890965207981,0.7702591691767448,-0.0124208769293514,0.0020790584856331,0.0061441513075138,0.0083064504787185,71.73087991542552,-0.0007466427173373,0.0037606065600566,-0.0010713763099914,-0.0213114945038263,-0.0409638744333393,0.8999095230645411,0,0.5666186,1,-0.004743646446198069,-0.004743646446198069,0.9926962557241875
2025-07-10,25355.25,-0.985959229107856,-0.004743646446198,-0.0019700920560223,-0.0075834670632901,0.0187659531790527,0.0013954562038577,0.0072453949381508,0.7200472162108967,-0.0207360452350751,0.0029875862744886,0.005753143620147,0.0083441304704127,58.84472733575976,-0.0045015696060312,0.0028886274112218,-0.0002420768401668,-0.0226130245877855,-0.0581114000869931,0.8874187342877323,0,0.59936184,1,-0.008100901810276007,-0.008100901810276007,0.9846545208291372
2025-07-11,25149.849609375,-1.530773950629715,-0.008100901810276,-0.012220666534111,-0.0190324894103967,0.0174463766886066,-0.0039340964888928,0.0076982458016634,0.8290636555074672,-0.0296670432227176,0.0041111548050741,0.0058516989479979,0.0084397256904274,56.18846178870692,-0.0035343209012219,-0.0048604241896975,-0.004566580909054,0.0128534376649218,-0.0405844165897224,0.910105847462107,0,0.5031051,1,-0.002685854157148504,-0.002685854157148504,0.9820098823910132
2025-07-14,25082.30078125,-0.5331994397982425,-0.0026858541571485,-0.0148853353273725,-0.017037627260571,0.0054436807267552,-1.3901052309659842e-05,0.0059655504984845,0.8672258797580428,-0.0203290160541278,0.0038760211163513,0.0055587524086013,0.0084321406141311,51.32432502379588,0.0001876909559319,-0.0032282746513048,-0.0028735451130804,0.0135363664588052,-0.0461784122613962,0.932694894294618,1,0.5805405,1,0.004525103218794291,0.004525103218794291,0.9864535784707086
