date,adj close,close,high,low,open,volume,ret_1d,ret_5d,ret_overnight,high_low_range,close_vs_ma5,ma5_smooth_signal,momentum_5_20,vol_20d,vol_50d,rsi_14,volume_normalized,dow,ret_zscore,vix_level,vix_change,ema50,target
2022-03-16,16975.349609375,16975.349609375,16987.900390625,16837.849609375,16876.650390625,260000,0.018745100484606647,0.038543072803940426,0.012821844243233512,0.008911516893846975,0.013635254635158536,0.007561663565984517,0.06027485283229106,0.01709976608398588,0.014626250900437477,52.409374547015695,0.7058312520360517,2,1.1618498205341719,24.1200008392334,-0.09764305079313018,16995.001012693498,1
2022-03-17,17287.05078125,17287.05078125,17344.599609375,17175.75,17202.900390625,448300,0.018361988356508263,0.041708619776712696,0.013404777308641126,0.009830697895288416,0.02378504434099664,0.008154770376484474,0.04373771764449119,0.017633100850994465,0.01479216859880206,57.16299848225792,1.184255712587505,3,1.0467572767664255,22.61000061035156,-0.06260365573560367,17008.08851584712,0
2022-03-21,17117.599609375,17117.599609375,17353.349609375,17096.400390625,17329.5,285500,-0.009802202470463706,0.029292677799452438,0.002455550069653383,0.015029433850350214,0.007933849297782312,0.005636015035640288,0.04009905322686713,0.017767359982625307,0.014810680878338783,54.004888108153956,0.7489113897487015,0,-0.5334618383408178,24.6200008392334,0.08889872510492536,17012.968676579585,1
2022-03-22,17315.5,17315.5,17334.400390625,17006.30078125,17120.400390625,338300,0.011561223252155806,0.0263286882564302,0.00016361997674405602,0.01929282644093538,0.014280944487075058,0.0051899708941284045,0.024059729221372006,0.017966346341424383,0.01485296936321511,56.99326605665426,0.8704377918719687,1,0.6333911763710589,24.06999969482422,-0.022339607053657007,17026.378719421944,0
2022-03-23,17245.650390625,17245.650390625,17442.400390625,17199.599609375,17405.05078125,292100,-0.0040339354552280104,0.034966716115045315,0.005171712122087147,0.014116653106137213,0.0033406762790007,0.006729813064884105,0.0327001506235276,0.017966375403525348,0.014848397626462437,55.61968472472605,0.7442038216560509,2,-0.2411073760991322,24.75,0.028250947810439797,17036.048765846368,0
2022-03-24,17222.75,17222.75,17291.75,17091.150390625,17094.94921875,290300,-0.0013278937068936791,0.014574096929842684,-0.008738503243514868,0.011737045476180165,-0.0008678737555275033,0.002869133781808307,0.006936063954730454,0.017899735241297263,0.014758873614731499,55.15039284795994,0.7405423331037474,3,-0.1046970564195289,23.93000030517578,-0.03313130080097848,17044.242404884026,0
2022-03-25,17153.0,17153.0,17294.900390625,17076.55078125,17289.0,237100,-0.004049875890900112,-0.007754404319526564,0.003846656312145273,0.012786517146937378,-0.0033641471393129614,-0.001556671045564606,-0.01301424637775117,0.0179219409154104,0.01475519644117665,53.665165318404206,0.6019981973061151,4,-0.25096531306930453,23.43000030517578,-0.020894274702196958,17048.993191297828,1
2022-03-28,17222.0,17222.0,17235.099609375,17003.900390625,17181.849609375,253200,0.004022619949862971,0.006099008798396088,0.00168189875677724,0.013596834457902983,-0.0005675605236754451,0.0012172843307292761,-0.053850079731461165,0.013675996183484166,0.014707840565856176,54.957446283882156,0.660036755601319,0,0.07431359268632808,22.61000061035156,-0.03499785250293319,17056.516927865036,1
2022-03-29,17325.30078125,17325.30078125,17343.650390625,17235.69921875,17297.19921875,235100,0.005998187274997013,0.0005660120267967361,0.004366462591452793,0.006263231360962972,0.005312865671049761,0.00011381699279986484,-0.03946786727654361,0.012689479797406414,0.014733563080877836,56.89569359233413,0.6205130912162162,1,0.3116788265651266,21.299999237060547,-0.05793902423387165,17068.156098373478,1
2022-03-30,17498.25,17498.25,17522.5,17387.19921875,17468.150390625,505000,0.009982465582194733,0.014647148913114805,0.008245144553541977,0.00778163173653031,0.012380619234814202,0.00291596218229428,-0.02729365060289246,0.012742618636500919,0.014814853333685126,59.99921258034936,1.3153782037924568,2,0.6156389930632159,20.61000061035156,-0.032394302883750226,17086.70467642163,0
2022-03-31,17464.75,17464.75,17559.80078125,17435.19921875,17519.19921875,281100,-0.001914477162001882,0.014051182302477816,0.0011972179360793221,0.00714655226686496,0.0076208638812069246,0.0027659908848028493,-0.03766527003258746,0.012395644905108166,0.014805836861801371,59.11141091168853,0.7554623881319036,3,-0.3637781307515913,20.559999465942383,-0.00242606224786146,17102.945047222773,1
2022-04-01,17670.44921875,17670.44921875,17703.69921875,17422.69921875,17436.900390625,291800,0.011777965258592316,0.030166689136011282,-0.0015946182667945434,0.016128384957572635,0.013437554663730153,0.005925641291744883,-0.040896156593159816,0.012366068451554428,0.01484343346177138,62.755622957179085,0.8003840087773435,4,0.6682500311531224,18.43000030517578,-0.10359918366218557,17127.233427455973,1
2022-04-04,18053.400390625,18053.400390625,18114.650390625,17791.400390625,17809.099609375,345500,0.021671841339984343,0.04827548430060391,0.007846455339566521,0.01816889018867415,0.025619775820637066,0.009410065135670595,-0.06302102976189405,0.01215200988717962,0.015100535958015054,68.40185305516569,0.9622749237560752,0,1.3401585598980585,17.90999984741211,-0.028214891435332068,17166.730556100756,0
2022-04-05,17957.400390625,17957.400390625,18095.44921875,17921.55078125,18080.599609375,283500,-0.005317557796472028,0.03648419253183066,0.0015065981012709583,0.009703314161960646,0.012891439130287721,0.0070025545957895525,-0.0955356111282093,0.010400726716381606,0.015048699145095988,65.71243728424449,0.8242477104230266,1,-1.108244366446706,18.489999771118164,0.03238413895295822,17200.33403797662,0
2022-04-06,17807.650390625,17807.650390625,17901.0,17779.849609375,17842.75,328800,-0.008339180323571727,0.01768179050047869,-0.006384576170883587,0.006813915375365129,0.00095107465661588,0.0034459374285215902,-0.09436153391924584,0.010861461128863142,0.015053995477916648,61.641067821154515,0.9867651030881426,2,-1.2565977609115728,19.020000457763672,0.028664180270752793,17226.060499424417,0
2022-04-07,17639.55078125,17639.55078125,17787.5,17623.69921875,17723.30078125,308800,-0.00943974110495216,0.010008776607165926,-0.004736706276500499,0.009294347300011281,-0.010442201714357745,0.00196320993972368,-0.06916977893334697,0.010721746074383878,0.014607664924185306,57.345902468561135,0.9485777477422129,3,-1.236111159732503,19.0,-0.001051548753013165,17243.521397841385,1
2022-04-08,17784.349609375,17784.349609375,17842.75,17600.55078125,17698.150390625,274400,0.008208759390795572,0.006445811830530168,0.003322057919824613,0.013760888608555174,-0.0035925041195320334,0.0012914205360158527,-0.06522977469013114,0.010443183198831158,0.014614659732627388,59.935613222672465,0.8712770686479965,4,0.44713679626564706,17.690000534057617,-0.06894734031275696,17266.29094113435,0
2022-04-11,17674.94921875,17674.94921875,17779.05078125,17650.94921875,17740.900390625,251700,-0.006151497975913078,-0.02096287478737391,-0.002443115419137723,0.007257488586728361,-0.005504533277571604,-0.00425600238622731,-0.08376935621557113,0.01066156763857927,0.014571606700796477,57.11416030334832,0.8110459496036605,0,-0.8644796932192068,18.270000457763672,0.03278687994324314,17283.44646177256,0
2022-04-12,17530.30078125,17530.30078125,17595.30078125,17442.349609375,17584.849609375,266000,-0.008183810641252287,-0.023784044465477105,-0.005097588019060345,0.008768954601895553,-0.00887975218531988,-0.004832824174928013,-0.06284445886650447,0.010594443494984309,0.014624836406365319,53.52630688407888,0.8639028271707182,1,-0.9545367603256845,18.15999984741211,-0.006020832380703056,17293.780865277564,0
