accuracy,balanced_accuracy,precision,recall,f1,auc,fold
0.7142857142857143,0.55,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.6888888888888889,1
0.42857142857142855,0.45,0.45,0.9,0.6,0.49090909090909096,2
0.5238095238095238,0.5555555555555556,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.6111111111111112,3
0.7142857142857143,0.5,0.7142857142857143,1.0,0.8333333333333334,0.8111111111111111,4
0.6190476190476191,0.48333333333333334,0.7058823529411765,0.8,0.75,0.4,5
0.23809523809523808,0.24545454545454548,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.1727272727272727,6
0.38095238095238093,0.3076923076923077,0.5,0.6153846153846154,0.5517241379310345,0.31730769230769235,7
0.5238095238095238,0.5181818181818182,0.5384615384615384,0.6363636363636364,0.5833333333333334,0.5545454545454545,8
0.6190476190476191,0.5721153846153846,0.6666666666666666,0.7692307692307693,0.7142857142857143,0.5096153846153846,9
0.47619047619047616,0.4444444444444444,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.3148148148148148,10
0.5238095238095238,0.4583333333333333,0.55,0.9166666666666666,0.6875,0.5555555555555556,11
0.5714285714285714,0.5357142857142857,0.6923076923076923,0.6428571428571429,0.6666666666666666,0.5,12
0.7142857142857143,0.55,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.34444444444444444,13
0.47619047619047616,0.6071428571428571,0.3888888888888889,1.0,0.56,0.40816326530612246,14
0.5238095238095238,0.5913461538461539,0.4375,0.875,0.5833333333333334,0.4230769230769231,15
0.5238095238095238,0.5555555555555556,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.6018518518518519,16
0.38095238095238093,0.36363636363636365,0.4444444444444444,0.7272727272727273,0.5517241379310345,0.5,17
0.42857142857142855,0.5,0.2857142857142857,0.6666666666666666,0.4,0.5333333333333333,18
0.5714285714285714,0.5681818181818181,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.5818181818181818,19
0.5238095238095238,0.5,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.5648148148148149,20
0.38095238095238093,0.3909090909090909,0.4,0.6,0.48,0.2727272727272727,21
0.5238095238095238,0.4861111111111111,0.5625,0.75,0.6428571428571429,0.5277777777777777,22
