fold,train_end,val_start,val_end,auc,bal_acc,acc
1,2023-03-21,2023-03-22,2023-06-23,0.5255,0.5538,0.4603
2,2023-06-23,2023-06-26,2023-09-25,0.4783,0.4962,0.5714
3,2023-09-25,2023-09-26,2023-12-28,0.5946,0.5281,0.5397
4,2023-12-28,2023-12-29,2024-04-04,0.3989,0.4037,0.4127
5,2024-04-04,2024-04-05,2024-07-09,0.3753,0.4085,0.4127
6,2024-07-09,2024-07-10,2024-10-09,0.4526,0.4563,0.4762
7,2024-10-09,2024-10-10,2025-01-10,0.5283,0.4603,0.3968
8,2025-01-10,2025-01-13,2025-04-16,0.4899,0.5091,0.5079
